number,name,about,okruh
1,Бардашевський Ростислав Ярославович,"Громадянин України, народився 18.05.1974 р., освіта вища, безпартійний, ДТЕК Бурштинська ТЕС, Завідувач здоровпункту №29 у ""ДТЕК-Сервіс"", місце проживання: м.Івано-Франківськ,",2
2,Бублінський Василь Володимирович,"Громадянин України, народився 30.07.1976 р., освіта професійно-технічна, член Політичної партії ""Воля"", приватний підприємець, місце проживання: м. Бурштин, Івано-Франківська обл.,",Перший кандидат
3,Василик Володимир Євстахійович,"Громадянин України, народився 02.10.1969 р., освіта вища, безпартійний, БУРШТИНСЬКА ЦЕНТРАЛЬНА МІСЬКА ЛІКАРНЯ, Лікар, місце проживання: м. Бурштин, Івано-Франківська обл.",8
4,Горват Любомир Іванович,"Громадянин України, народився 15.10.1972 р., освіта вища, безпартійний, ДТЕК Бурштинська ТЕС, інженер, місце проживання: Івано-Франківська обл., Косівський р-н, с.Соколівка",21
5,Дашевич Ігор Ярославович,"Громадянин України, народився 17.12.1968 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Бурштинська ТЕС ПАТ ""ДТЕК Захід енерго"", інженер, місце проживання: м.Бурштин, Івано-Франківська обл.",4
6,Дидик Роман Васильович,"Громадянин України, народився 01.06.1966 р., освіта загальна середня, безпартійний, тимчасово не працює, місце проживання: Івано-Франківська обл., м.Бурштин, с.Вигівка,",26
7,Драбчук Олег Тарасович,"Громадянин України, народився 03.09.1963 р., освіта вища, безпартійний, ДТЕК Бурштинська ТЕС, інженер цеху теплової автоматики та вимірювань, місце проживання: м.Бурштин, Івано-Франків-ська обл.",22
8,Дулик Ігор Остапович,"Громадянин України, народився 13.08.1961 р., освіта професійно-технічна, безпартійний, приватний підприємець, місце проживання: Івано-Франківська обл., м. Бурштин,",12
9,Іванюк Роман Степанович,"Громадянин України, народився 02.08.1979 р., освіта вища, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", Відділ ведення Державного реєстру виборців апарату Галицької районної державної адміністрації, начальник, місце проживання: м.Бурштин, Івано-Франківська обл.,",Перший кандидат
10,Івасюк Леонора Романівна,"Громадянка України, народилася 08.03.1965 р., освіта вища, член Радикальної партії Олега Ляшка, ФОП, керівник, місце проживання: с.Дем?янів, Галицький район, Івано-Франківська обл.",Перший кандидат
11,Карвацький Ігор Зеновійович,"Громадянин України, народився 16.04.1976 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", ВП ДТЕК Бурштинська ТЕС, інженер-електронік, місце проживання: м.Бурштин,Івано-Франківська обл.",Перший кандидат
12,Котів Володимир Володимирович,"Громадянин України, народився 27.10.1969 р., освіта вища, безпартійний, ДТЕК Бурштинська ТЕС, майстер, місце проживання: м.Бурштин, Івано-Франків-ська обл.",21
13,Крижалка Андрій Степанович,"Громадянин України, народився 22.07.1981 р., освіта вища, безпартійний, ТЗОВ ""Електроналадка"", головний спеціаліст, місце проживання: с.Вигівка,Івано-Франківської обл.",26
14,Мазур Ірина Миколаївна,"Громадянка України, народилася 11.06.1980 р., освіта вища, безпартійна, ЗОШ№3, вчитель, місце проживання: м. Бурштин, Івано-Франківська обл.",15
15,Петровська Любов Ігорівна,"Громадянка України, народилася 04.08.1974 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Бурштинська центральна міська лікарня, старша медсестра, місце проживання: м.Бурштин, Івано-Франківська обл.",9
16,Попик Тарас Дмитрович,"Громадянин України, народився 12.09.1987 р., освіта вища, безпартійний, ДТЕК БУРШТИНСЬКА ТЕС, Майстер дільниці ТПК, місце проживання: м. Бурштин, Івано-Франківська обл.",20
17,Прокопів Ігор Вікторович,"Громадянин України, народився 07.09.1958 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Виробничо-комерційна фірма ""ІНЕКО"", директор, місце проживання: м.Бурштин, Івано-Франківська обл.",Перший кандидат
18,Процик Андрій Степанович,"Громадянин України, народився 10.06.1977 р., освіта вища, безпартійний, ДТЕК Бурштинська ТЕС, інженер, місце проживання: м.Бурштин, Івано-Франків-ська обл.",18
19,Рибчук Богдан Богданович,"Громадянин України, народився 25.01.1972 р., освіта вища, безпартійний, ДТЕК Бурштинська ТЕС, менеджер по взаємодії з місцевими органами влади, місце проживання: м.Бурштин, Івано-Франків-ська обл.",Перший кандидат
20,Рик Володимир Любомирович,"Громадянин України, народився 01.06.1981 р., освіта вища, безпартійний, ДТЕК БУРШТИНСЬКА ТЕС, Заступник начальника відділу, місце проживання: м. Бурштин, Івано-Франківська обл.,",Перший кандидат
21,Сенчина Тетяна Мирославівна,"Громадянка України, народилася 30.01.1966 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", приватний підприємець, місце проживання: м.Бурштин, Івано-Франківська обл.",19
22,Соронович Катерина Миколаївна,"Громадянка України, народилася 21.07.1951 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Бурштинська міська рада, секретар міської ради, місце проживання: м.Бурштин, Івано-Франківська обл.",17
23,Тимошик Марія Григорівна,"Громадянка України, народилася 15.04.1970 р., освіта вища, безпартійна, КП ""Капітальне будівництво Бурштинської міської ради"", директор, місце проживання: м .Бурштин, Івано-Франківська обл.",1
24,Федорняк Андрій Іванович,"Громадянин України, народився 05.12.1995 р., освіта вища, член Політичної партії ""Сила людей"", Львівський національний університет ім.Івана Франка, студент, місце проживання: м.Бурштин, Івано-Франків-ська обл.",6
